event_id,region_id,original_observation_id,latitude,longitude,acq_date,acq_time,satellite,frp,confidence,instrument,daynight
EVT_20260705_0085,thoothukudi,OBS_00223,8.57296,78.08848,2026-07-05,754,N20,9.24,n,VIIRS,D
EVT_20260705_0086,thoothukudi,OBS_00224,8.67368,78.03984,2026-07-05,754,N20,6.54,l,VIIRS,D
EVT_20260705_0086,thoothukudi,OBS_00225,8.67447,78.04462,2026-07-05,754,N20,4.01,n,VIIRS,D
EVT_20260705_0086,thoothukudi,OBS_00098,8.67558,78.04192,2026-07-05,839,N21,5.75,h,VIIRS,D
EVT_20260705_0086,thoothukudi,OBS_00099,8.67597,78.0448,2026-07-05,839,N21,5.75,n,VIIRS,D
EVT_20260705_0087,thoothukudi,OBS_00226,8.74794,77.99934,2026-07-05,754,N20,3.94,l,VIIRS,D
EVT_20260705_0088,thoothukudi,OBS_00097,8.61112,77.97647,2026-07-05,839,N21,6.33,l,VIIRS,D
EVT_20260705_0089,thoothukudi,OBS_00100,8.76077,78.18306,2026-07-05,839,N21,4.84,n,VIIRS,D
EVT_20260706_0090,thoothukudi,OBS_00101,8.75857,78.18122,2026-07-06,822,N21,14.96,l,VIIRS,D
EVT_20260706_0091,thoothukudi,OBS_00102,8.86743,78.15778,2026-07-06,822,N21,3.88,l,VIIRS,D
EVT_20260706_0092,thoothukudi,OBS_00227,8.75902,78.1852,2026-07-06,2012,N20,2.23,n,VIIRS,N
EVT_20260706_0092,thoothukudi,OBS_00228,8.75962,78.18127,2026-07-06,2012,N20,2.23,n,VIIRS,N
EVT_20260706_0092,thoothukudi,OBS_00103,8.75783,78.18495,2026-07-06,2057,N21,1.82,n,VIIRS,N
EVT_20260706_0092,thoothukudi,OBS_00104,8.75852,78.18118,2026-07-06,2057,N21,2.26,n,VIIRS,N
EVT_20260707_0093,thoothukudi,OBS_00105,8.69401,78.05341,2026-07-07,803,N21,5.31,n,VIIRS,D
EVT_20260707_0094,thoothukudi,OBS_00106,8.75867,78.18225,2026-07-07,803,N21,13.66,n,VIIRS,D
EVT_20260707_0094,thoothukudi,OBS_00229,8.75607,78.18181,2026-07-07,858,N20,9.43,n,VIIRS,D
EVT_20260707_0095,thoothukudi,OBS_00107,8.86108,78.0523,2026-07-07,803,N21,11.0,n,VIIRS,D
EVT_20260707_0096,thoothukudi,OBS_00230,8.75843,78.18498,2026-07-07,1951,N20,2.7,n,VIIRS,N
EVT_20260707_0096,thoothukudi,OBS_00231,8.75911,78.17997,2026-07-07,1951,N20,2.34,n,VIIRS,N
EVT_20260707_0096,thoothukudi,OBS_00108,8.75811,78.18343,2026-07-07,2038,N21,5.7,n,VIIRS,N
EVT_20260708_0097,thoothukudi,OBS_00232,8.75731,78.1812,2026-07-08,2114,N20,7.96,n,VIIRS,N
EVT_20260709_0098,thoothukudi,OBS_00233,8.84491,77.99417,2026-07-09,820,N20,8.02,n,VIIRS,D
EVT_20260709_0099,thoothukudi,OBS_00234,8.85846,77.94576,2026-07-09,820,N20,9.78,n,VIIRS,D
EVT_20260710_0100,thoothukudi,OBS_00109,8.85192,78.13534,2026-07-10,1942,N21,1.07,n,VIIRS,N
EVT_20260711_0101,thoothukudi,OBS_00235,8.69392,78.05166,2026-07-11,741,N20,3.97,n,VIIRS,D
EVT_20260711_0102,thoothukudi,OBS_00236,8.67076,77.99223,2026-07-11,2017,N20,0.59,n,VIIRS,N
EVT_20260711_0103,thoothukudi,OBS_00237,8.86807,78.12141,2026-07-11,2017,N20,0.73,n,VIIRS,N
EVT_20260712_0104,thoothukudi,OBS_00238,8.89624,78.07236,2026-07-12,724,N20,3.08,n,VIIRS,D
EVT_20260712_0105,thoothukudi,OBS_00110,8.66283,78.03506,2026-07-12,809,N21,13.62,n,VIIRS,D
EVT_20260712_0106,thoothukudi,OBS_00111,8.68076,78.06427,2026-07-12,809,N21,7.59,n,VIIRS,D
EVT_20260712_0107,thoothukudi,OBS_00112,8.74524,78.12827,2026-07-12,809,N21,2.13,n,VIIRS,D
EVT_20260713_0108,thoothukudi,OBS_00113,8.84894,78.13416,2026-07-13,2025,N21,1.45,n,VIIRS,N
EVT_20260714_0109,thoothukudi,OBS_00114,8.70241,78.05972,2026-07-14,2008,N21,1.21,n,VIIRS,N
