event_id,region_id,latitude,longitude,acq_date,acq_time,observation_count,satellite_count,satellites,frp,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km
EVT_20260723_0122,thoothukudi,8.75794,78.18364,2026-07-23,1953,1,1,N20,2.64,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,114488441.0,,,,,storage_tank,0.445
EVT_20260724_0123,thoothukudi,8.57624,78.11585,2026-07-24,744,1,1,N21,3.46,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,548907979.0,DCW,chemical,industrial,,,3.073
EVT_20260724_0124,thoothukudi,8.610845,78.0196,2026-07-24,744,2,2,"N20,N21",5.98,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260724_0125,thoothukudi,8.61237,77.97205,2026-07-24,744,1,1,N21,3.18,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260724_0126,thoothukudi,8.61637,77.954327,2026-07-24,744,3,2,"N20,N21",4.27,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1268305323.0,,,,,,4.855
EVT_20260724_0127,thoothukudi,8.672645,78.09678,2026-07-24,744,2,2,"N20,N21",2.89,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831349.0,,,industrial,,,1.29
EVT_20260724_0128,thoothukudi,8.80012,78.12872,2026-07-24,744,1,1,N21,5.78,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,740794217.0,,,,,storage_tank,1.486
EVT_20260724_0129,thoothukudi,8.60956,77.98328,2026-07-24,837,1,1,N20,2.56,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260724_0130,thoothukudi,8.75892,78.18311,2026-07-24,839,1,1,N20,4.78,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,114488441.0,,,,,storage_tank,0.537
EVT_20260724_0131,thoothukudi,8.81455,77.97631,2026-07-24,839,1,1,N20,7.79,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260724_0132,thoothukudi,8.86727,78.15775,2026-07-24,839,1,1,N20,2.68,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827217.0,,,industrial,,,2.323
EVT_20260724_0133,thoothukudi,8.57257,78.07323,2026-07-24,2019,1,1,N21,5.43,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,548907979.0,DCW,chemical,industrial,,,3.399
