event_id,latitude,longitude,event_date,event_start_time,max_frp,observation_count,worldcover_class_code,worldcover_class
EVT_20260810_0170,8.616597,77.950813,2026-08-10,2002,3.9,3,,UNKNOWN
EVT_20260812_0171,8.58918,77.91875,2026-08-12,828,48.72,1,,UNKNOWN
EVT_20260812_0172,8.67153,77.9933,2026-08-12,2019,1.2,1,,UNKNOWN
EVT_20260813_0173,8.53019,78.08766,2026-08-13,809,4.93,1,,UNKNOWN
EVT_20260815_0174,8.71118,78.09945,2026-08-15,828,2.86,1,,UNKNOWN
EVT_20260815_0175,8.84948,78.13552,2026-08-15,2008,0.4,1,,UNKNOWN
EVT_20260817_0176,8.67144,77.99295,2026-08-17,2025,1.66,1,,UNKNOWN
EVT_20260818_0177,8.62125,77.95941,2026-08-18,816,3.37,1,,UNKNOWN
EVT_20260818_0178,8.74016,78.05225,2026-08-18,816,8.91,1,,UNKNOWN
EVT_20260818_0179,8.79578,77.95259,2026-08-18,816,2.07,1,,UNKNOWN
EVT_20260818_0180,8.86771,78.15748,2026-08-18,816,6.09,1,,UNKNOWN
EVT_20260818_0181,8.66845,77.99213,2026-08-18,2051,0.69,1,,UNKNOWN
EVT_20260819_0182,8.885925,78.104705,2026-08-19,758,9.25,2,,UNKNOWN
EVT_20260819_0183,8.64099,77.902477,2026-08-19,852,6.62,3,,UNKNOWN
EVT_20260820_0184,8.73457,78.0784,2026-08-20,835,1.92,1,,UNKNOWN
EVT_20260821_0185,8.6787,78.06282,2026-08-21,813,2.79,1,,UNKNOWN
EVT_20260828_0186,8.566405,78.083805,2026-08-28,744,5.17,2,,UNKNOWN
EVT_20260828_0187,8.712812,77.974342,2026-08-28,744,7.52,4,,UNKNOWN
EVT_20260828_0188,8.72984,78.1073,2026-08-28,744,5.48,1,,UNKNOWN
EVT_20260828_0189,8.78832,78.11234,2026-08-28,744,2.63,1,,UNKNOWN
EVT_20260828_0190,8.84528,78.0387,2026-08-28,744,3.18,1,,UNKNOWN
EVT_20260828_0191,8.861145,77.992535,2026-08-28,828,3.92,2,,UNKNOWN
EVT_20260828_0192,8.67013,77.993825,2026-08-28,2019,0.44,2,,UNKNOWN
EVT_20260828_0193,8.85032,78.13471,2026-08-28,2019,0.43,1,,UNKNOWN
EVT_20260829_0194,8.60741,77.97129,2026-08-29,809,5.38,1,,UNKNOWN
EVT_20260829_0195,8.75016,78.08366,2026-08-29,809,6.22,1,,UNKNOWN
EVT_20260829_0196,8.8745,77.98587,2026-08-29,809,5.31,1,,UNKNOWN
EVT_20260829_0197,8.77298,78.1974,2026-08-29,2000,2.2,1,,UNKNOWN
EVT_20260829_0198,8.67362,78.03297,2026-08-29,2046,1.52,1,,UNKNOWN
