facility_name,acq_date,observation_count,max_frp_mw,mean_frp_mw,total_frp_mw,source_class,classification_confidence,evidence_strength,worldcover_context,worldcover_class,association_type,association_confidence,osm_feature_name,osm_industrial,osm_landuse,behavior_state,behavior_score,frp_score,detection_score,frequency_score,previous_active_days,persistence_state,active_days,activity_frequency,median_gap_days,max_gap_days,max_consecutive_active_days,investigation_priority,evidence_summary,reason,decision_interpretation
UNKNOWN,2026-04-19,3,9.83,4.123333333333334,12.370000000000001,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,TREE_COVER,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,industrial,WATCH,63.16,59.15,100.0,7.7,14,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,No strong mapped industrial association; WorldCover=TREE_COVER,detection count is well above the site's previous range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-04-21,1,4.27,4.27,4.27,UNKNOWN,LOW,LOW,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,NORMAL,1.32,0.0,0.0,6.59,15,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Insufficient evidence,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-04-25,1,1.41,1.41,1.41,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,NATURAL,SHRUBLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,industrial,NORMAL,1.43,0.0,0.0,7.15,16,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Thermal point is near mapped industrial feature; WorldCover=SHRUBLAND,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-04-27,1,6.11,6.11,6.11,AGRICULTURAL,MEDIUM,MEDIUM,AGRICULTURAL,CROPLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,industrial,NORMAL,0.52,0.0,0.0,2.61,17,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,No strong mapped industrial association; WorldCover=CROPLAND,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-04-30,1,0.52,0.52,0.52,UNKNOWN,LOW,LOW,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,NORMAL,0.49,0.0,0.0,2.47,18,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Insufficient evidence,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-05-02,1,3.87,3.87,3.87,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,NATURAL,GRASSLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,industrial,NORMAL,0.35,0.0,0.0,1.75,19,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Thermal point is near mapped industrial feature; WorldCover=GRASSLAND,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-05-05,1,2.52,2.52,2.52,UNKNOWN,LOW,MEDIUM,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,industrial,NORMAL,1.03,0.0,0.0,5.17,20,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Insufficient evidence,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-05-19,1,7.45,7.45,7.45,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,NATURAL,SHRUBLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,,NORMAL,16.76,37.24,0.0,0.0,21,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Thermal point is near mapped industrial feature; WorldCover=SHRUBLAND,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-05-21,2,7.66,7.205,14.41,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,HERBACEOUS_WETLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,industrial,WATCH,44.11,31.9,85.0,0.0,22,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,No strong mapped industrial association; WorldCover=HERBACEOUS_WETLAND,detection count is well above the site's previous range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-05-26,1,3.25,3.25,3.25,AGRICULTURAL,MEDIUM,MEDIUM,AGRICULTURAL,CROPLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,industrial,NORMAL,0.0,0.0,0.0,0.0,23,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,No strong mapped industrial association; WorldCover=CROPLAND,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
