osm_type,osm_id,name,industrial,landuse,man_made,power,geometry_wkt
way,139788124,,,,storage_tank,,"POLYGON ((69.859429 22.432175, 69.859294 22.432081, 69.85913 22.432043, 69.858963 22.432065, 69.858818 22.432144, 69.858717 22.432269, 69.858675 22.43242, 69.858699 22.432575, 69.858785 22.432709, 69.85892 22.432803, 69.859084 22.432841, 69.859251 22.432819, 69.859396 22.43274, 69.859497 22.432615, 69.859539 22.432464, 69.859515 22.432309, 69.859429 22.432175))"
way,139788125,,,,storage_tank,,"POLYGON ((69.866764 22.423037, 69.86664 22.422957, 69.866457 22.42292, 69.866283 22.422955, 69.866152 22.423038, 69.866054 22.423178, 69.866026 22.42332, 69.866072 22.4235, 69.866152 22.423602, 69.866296 22.42369, 69.866497 22.423718, 69.866632 22.423686, 69.866763 22.423603, 69.866849 22.423492, 69.866891 22.42332, 69.866866 22.423187, 69.866764 22.423037))"
way,139788126,,,,storage_tank,,"POLYGON ((69.854184 22.433184, 69.854196 22.433073, 69.854162 22.432966, 69.854086 22.432879, 69.853979 22.432826, 69.853859 22.432814, 69.853743 22.432846, 69.853649 22.432916, 69.853591 22.433015, 69.853579 22.433126, 69.853613 22.433233, 69.85369 22.43332, 69.853796 22.433373, 69.853916 22.433385, 69.854032 22.433353, 69.854126 22.433282, 69.854184 22.433184))"
way,139788127,,,,storage_tank,,"POLYGON ((69.850732 22.435667, 69.850745 22.435555, 69.85071 22.435448, 69.850634 22.435361, 69.850528 22.435308, 69.850408 22.435296, 69.850292 22.435328, 69.850198 22.435399, 69.85014 22.435497, 69.850128 22.435608, 69.850162 22.435716, 69.850238 22.435802, 69.850345 22.435856, 69.850465 22.435867, 69.850581 22.435835, 69.850675 22.435765, 69.850732 22.435667))"
way,139788128,,,,storage_tank,,"POLYGON ((69.855376 22.429334, 69.855381 22.429222, 69.85534 22.429117, 69.855258 22.429034, 69.855148 22.428987, 69.855028 22.428982, 69.854914 22.42902, 69.854824 22.429096, 69.854773 22.429197, 69.854768 22.429309, 69.854809 22.429414, 69.854891 22.429496, 69.855 22.429544, 69.855121 22.429549, 69.855235 22.42951, 69.855324 22.429435, 69.855376 22.429334))"
way,139788129,,,,storage_tank,,"POLYGON ((69.859206 22.425914, 69.859071 22.425821, 69.858907 22.425782, 69.85874 22.425804, 69.858595 22.425884, 69.858494 22.426009, 69.858452 22.42616, 69.858476 22.426314, 69.858562 22.426449, 69.858698 22.426542, 69.858861 22.426581, 69.859028 22.426559, 69.859173 22.426479, 69.859274 22.426354, 69.859316 22.426203, 69.859292 22.426049, 69.859206 22.425914))"
way,139788130,,,,storage_tank,,"POLYGON ((69.855962 22.435247, 69.855974 22.435136, 69.85594 22.435029, 69.855864 22.434942, 69.855757 22.434889, 69.855637 22.434877, 69.855521 22.434909, 69.855427 22.43498, 69.85537 22.435078, 69.855357 22.435189, 69.855392 22.435296, 69.855468 22.435383, 69.855574 22.435436, 69.855694 22.435448, 69.85581 22.435416, 69.855904 22.435346, 69.855962 22.435247))"
way,139788131,,,,storage_tank,,"POLYGON ((69.85589 22.436897, 69.855894 22.43678, 69.855854 22.43668, 69.85579 22.436611, 69.855663 22.43655, 69.855525 22.436548, 69.855428 22.436584, 69.855333 22.436667, 69.855288 22.43676, 69.85528 22.436856, 69.855324 22.436977, 69.855386 22.437045, 69.855515 22.437107, 69.855616 22.437114, 69.85575 22.437074, 69.855827 22.437012, 69.85589 22.436897))"
way,139788132,,,,storage_tank,,"POLYGON ((69.86239 22.421925, 69.862266 22.421845, 69.862084 22.421808, 69.861909 22.421843, 69.861778 22.421926, 69.86168 22.422067, 69.861652 22.422209, 69.861699 22.422388, 69.861779 22.422491, 69.861922 22.422579, 69.862123 22.422606, 69.862259 22.422574, 69.86239 22.422492, 69.862475 22.42238, 69.862517 22.422209, 69.862493 22.422075, 69.86239 22.421925))"
way,139788133,,,,storage_tank,,"POLYGON ((69.865384 22.42753, 69.86526 22.42745, 69.865078 22.427413, 69.864903 22.427448, 69.864772 22.427531, 69.864674 22.427672, 69.864646 22.427814, 69.864692 22.427993, 69.864772 22.428096, 69.864916 22.428184, 69.865117 22.428211, 69.865252 22.428179, 69.865384 22.428096, 69.865469 22.427985, 69.865511 22.427814, 69.865486 22.42768, 69.865384 22.42753))"
