event_id,event_date,event_start_time,event_end_time,observation_count,satellite_count,satellites,max_frp,total_frp,mean_frp,latitude,longitude,worldcover_class,worldcover_context,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km,source_class,source_class_v2,classification_confidence_v2,evidence_strength,classification_reason,evidence_summary,interpretation
EVT_20260328_0044,2026-03-28,803,803,1,1,N21,3.08,3.08,3.08,22.29349,69.98151,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1263638688.0,,,industrial,plant,,1.767,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260328_0045,2026-03-28,803,803,1,1,N21,13.36,13.36,13.36,22.4136,69.89274,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,227055220.0,Sapar,,,substation,,1.421,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260328_0046,2026-03-28,2029,2029,1,1,N21,2.96,2.96,2.96,22.33166,69.86633,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260330_0047,2026-03-30,2131,2131,1,1,N21,3.81,3.81,3.81,22.33843,69.85404,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260331_0048,2026-03-31,845,845,1,1,N21,18.98,18.98,18.98,22.25853,69.89301,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,440206109.0,Moti Rafudad,,,substation,,2.781,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260331_0049,2026-03-31,2114,2114,1,1,N21,2.98,2.98,2.98,22.33841,69.85287,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260405_0050,2026-04-05,852,852,1,1,N21,7.06,7.06,7.06,22.33744,69.71162,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,223725824.0,Essar Power,,industrial,plant,,1.741,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260406_0051,2026-04-06,2101,2101,1,1,N21,1.62,1.62,1.62,22.33615,69.86816,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260406_0052,2026-04-06,2101,2101,1,1,N21,2.21,2.21,2.21,22.33846,69.85339,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260408_0053,2026-04-08,756,756,1,1,N21,1.67,1.67,1.67,22.39186,69.87063,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,139793158.0,,,industrial,,,0.944,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,OSM industrial association; WorldCover context=AGRICULTURAL,Thermal point is near mapped industrial feature; WorldCover=CROPLAND,Thermal observation spatially associated with industrial infrastructure
